"year","field","transect","plot","Achilleamillefolium","Agastachefoeniculum","Agropyronrepens","Agrostisscabra","Alliumstellatum","Ambrosiasp","Amorphacanescens","Amphicarpabracteata","Andropogongerardi","Anemonecylindrica","Anemonepatens","Anemonequinquefolia","Antennarianeglecta","Apocynumandrosaemifolium","Apocynumsibiricum","Apocynumsp","Aquilegiacanadensis","Arabissp","Arenarialateriflora","Aristidabasiramea","Aristidasp","Aristidatuberculosa","Artemisiacampestris","Artemisialudoviciana","Asclepiasovalifolia","Asclepiassp","Asclepiassyriaca","Asclepiastuberosa","Asclepiasverticillata","Asclepiasviridiflora","Asterazureus","Asterericoides","Astersimplex","Astersp","Asterumbellatus","Astragaluscanadensis","Berteroaincana","Boutelouacurtipendula","Boutelouahirsuta","Bromusinermis","Buchloedactyloides","Calamovilfalongifolia","Campanularotundifolia","Ceanothusamericanus","Cenchruslongispinus","Chenopodiumalbum","Chenopodiumleptophyllum","Chrysopsisvillosa","Cirsiumsp","Coreopsispalmata","Crepistectorum","Danthoniaspicata","Delphiniumvirescens","Desmodiumcanadense","Digitariasp","Equisetumarvense","Equisetumlaevigatum","Equisetumsp","Eragrostisspectabilis","Erechtiteshieracifolia","Erigeroncanadensis","Erigeronsp","Erigeronstrigosus","Euphorbiacorollata","Euphorbiaglyptosperma","Euphorbiasp","Euthamiagraminifolia","Fragariavirginiana","Galiumboreale","Gnaphaliumobtusifolium","Hedeomahispida","Helianthemumbicknellii","Helianthuslaetiflorus","Heucherarichardsonii","Hieraciumsp","Koeleriacristata","Lactucabiennis","Lathyrusvenosus","Lecheastricta","Lepidiumdensiflorum","Leptolomacognatum","Lespedezacapitata","Liatrisaspera","Linariavulgaris","Lithospermumcaroliniense","Lobeliaspicata","Loniceradioica","Lychnisalba","Maianthemumcanadense","Medicagolupulina","Melilotussp","Miscellaneousferns","Miscellaneousrushes","Miscellaneoussedges","Mollugoverticillata","Monardafistulosa","Monardapunctata","Muhlenbergiaracemosa","Oenotherabiennis","Oxalisstricta","Oxybaphushirsutus","Panicumcapillare","Panicumoligosanthes","Panicumperlongum","Panicumpraecocious","Panicumsp","Panicumvirgatum","Parietariapensylvanica","Parthenocissusvitacea","Paspalumciliatifolium","Penstemongracilis","Penstemongrandiflorus","Petalostemumcandidum","Phalarisarundinacea","Phleumpratense","Phloxpilosa","Phrymaleptostachya","Physalisheterophylla","Physalissp","Physalisvirginiana","Plantagopatagonica","Poapratensis","Polygalapolygama","Polygonatumcanaliculatum","Polygonellaarticulata","Polygonumconvolvulus","Polygonumpensylvanicum","Polygonumtenue","Potentillaargentea","Potentillaarguta","Potentillanorvegica","Potentillarecta","Potentillasimplex","Potentillasp","Pyrolarotundifolia","Ranunculusrhomboideus","Rhusglabra","Rhusradicans","Rosaarkansana","Rubussp","Rudbeckiahirta","Rumexacetosella","Salsolakali","Schizachyriumscoparium","Scutellariaparvula","Secalecereale","Setarialutescens","Sileneantirrhina","Sisyrinchiumcampestre","Smilacinaracemosa","Solidagogigantea","Solidagonemoralis","Solidagorigida","Solidagosp","Solidagospeciosa","Sorghastrumnutans","Sporoboluscryptandrus","Stachyspalustris","Stipaspartea","Strophostylesleiosperma","Taraxicumofficinalis","Tradescantiaoccidentalis","Tragopogondubius","Trifoliumarvense","Trifoliumsp","Urticadioica","Verbascumthapsus","Verbenabracteata","Veronicastrumvirginicum","Viciavillosa","Violapedatifida","Violasagittata","Violasp","Vitisriparia","Zeamays","yrab","age","burned","hasbeenburned","foreststatus","bearing","lastcrop","richness","expshannon","invsimpson","lightunderveg","lightunderlitter","p_veg","p_tot","mod_underveg","mod_underlitter","soilmatchyrs","psoilC","psoilN","Bareground","Miscellaneouslitter"
1983,24,"R",11,0,0,0.00906344401748797,0.0392749240757812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00906344401748797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00906344401748797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201409867055288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149043301620913,0,0,0,0,0,0.00201409867055288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996978841923677,0,0,0,0,0.00201409867055288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201409867055288,0,0,0,0,0,0,0,0,0,0,0,0,1968,15,TRUE,FALSE,"NF","N","soybeans",11,4.63009641491081,3.7056639146835,NA,NA,0.52265859493798,0.771399790821754,0.858034879011858,0.21925438232143,1983,0.709,0.0612,0.228600209178246,0.248741195883774
1983,26,"W",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,26,FALSE,FALSE,"HF","S","soybeans",7,2.24370016425666,1.52220795892169,NA,NA,0.77,0.92,NA,NA,1983,NA,NA,0.08,0.15
1983,27,"Y",1,0.01,0,0.09,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,36,FALSE,FALSE,"NF","N","unknown",7,5.93064464656117,5.42895442359249,NA,NA,0.45,0.63,0.661540451376038,0.238769715329451,1983,NA,NA,0.37,0.18
1989,24,"R",11,0,0,0,0,0,0.00503524682850447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00402819746280357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100704936570089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503524682850447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00402819746280357,0,0,0,0,0,0.00100704936570089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130916417541116,0,0,0,0,0,0,0,0,0,0.0100704936570089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,21,TRUE,FALSE,"NF","N","soybeans",8,6.69669004809327,5.98230088495575,NA,NA,0.0523665670164464,0.939577038057946,0.984776512217522,0.157494240525154,1989,0.914,0.0708,0.0604229619420536,0.8872104710415
1989,26,"W",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000990099029506912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000990099029506912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990099029506912,0,0,0,0,0,0,0,0,0,0,0.0693069320654838,0,0,0,0,0,0,0,0,0,0,0,0.0594059417704147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000990099029506912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495049514753456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,32,FALSE,FALSE,"HF","S","soybeans",7,3.7290352623936,3.35485904710439,NA,NA,0.191089112694834,0.989108910675424,NA,NA,1989,0.348,0.0396,0.010891089324576,0.79801979798059
1989,27,"Y",1,0,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,1947,42,FALSE,FALSE,"NF","N","unknown",8,4.58591606855688,3.39324116743472,NA,NA,0.47,0.95,0.649502959598188,0.115353875459009,1989,0.623,0.056,0.05,0.48
1994,24,"R",11,0,0,0.02,0.02,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,26,TRUE,FALSE,"NF","N","soybeans",10,5.62466957470228,3.99920666402221,NA,NA,0.355,0.7,0.901229187735439,0.252318606521289,1995,0.878,0.0785,0.3,0.345
1994,26,"W",25,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.03,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,37,FALSE,FALSE,"HF","S","soybeans",9,4.72132989953359,3.55848496101003,NA,NA,0.6475,0.89,NA,NA,1995,0.604,0.0478,0.11,0.2425
1994,27,"Y",1,0.03,0,0.1,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.0075,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,1947,47,FALSE,FALSE,"NF","N","unknown",11,5.77313668647959,4.11477151965994,NA,NA,0.44,0.85,0.667642601449233,0.144799026973682,1995,0.547,0.051,0.15,0.41
1997,24,"R",11,0,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,29,TRUE,FALSE,"NF","N","soybeans",9,6.95128736154126,5.95781637717122,NA,NA,0.49,0.84,0.866283256794326,0.191575131801549,1995,0.878,0.0785,0.16,0.35
